tipe laka lantas;jumlah korban luka berat;jumlah korban luka ringan;jumlah korban meninggal dunia;latitude;longititude;direction;tipe cahaya;cuaca;fungsi jalan;kelas jalan;geometri jalan;tipe jalan;kecepatan;jenis jalan;lokasi jalan;kecamatan;jenis luka ;age;jenis kelamin;jenis kendaraan;cluster;kategori
tabrakan depan - depan;2;1;0;-7,166899042;112,5636374;barat (270°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;4/2 tb (4 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya desa ambeng-ambeng watangrejo kecamatan duduksampeyan kabupaten gresik;duduk sampeyan;kecelakaan berat;26-45;laki-laki;medium bus;2;rendah
tabrakan depan - depan;0;1;0;-7,379467668;112,5297142;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya desa sembung kecamatan wringinanom kabupaten gresik;wringinanom;kecelakaan ringan;<17;laki-laki;r2 (sepeda motor);1;sedang
tabrakan depan - depan;0;1;0;-7,182712849;112,6205084;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);60;jalan kota / kabupaten;jalan raya ds. sekarkurung kec kebomas kab. gresik;kebomas;kecelakaan ringan;26-45;laki-laki;mini truk;0;tinggi
tabrakan depan - depan;1;2;0;-7,165032024;112,549486;timur (90°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. tebaloan kec. duduksampeyan kab. gresik;duduk sampeyan;kecelakaan berat;46-65;laki-laki;trailer 20 feet;2;rendah
tabrakan depan - depan;0;2;0;-7,254621291;112,5325648;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. ngembuung kec. cerme kab. gresik;cerme;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);1;sedang
tabrakan depan - depan;0;2;0;-7,289236292;112,5634805;barat (270°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan propinsi;jalan raya ds. bringkang kec. menganti kab. gresik;menganti;kecelakaan ringan;nan;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan depan - depan;0;3;0;-7,015169992;112,5676339;utara (0°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. kemangi kec. bungah kab. gresik;bungah;kecelakaan ringan;46-65;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan depan - depan;0;1;0;-7,089574973;112,5778635;timur (90°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya desa banyuwangi kecamatan manyar kabupaten gresik;manyar;kecelakaan ringan;26-45;laki-laki;medium truk;0;tinggi
tabrakan depan - depan;0;2;0;-6,943990752;112,4884517;timur (90°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya ds. wotan kec. panceng kab. gresik;panceng;kecelakaan ringan;26-45;laki-laki;r3 (bentor / bajaj / bemo);1;sedang
tabrakan saat menyalip;0;1;0;-7,406105419;112,5021616;barat (270°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya ds. kedunganyar kec. wringinanom kab. gresik;wringinanom;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);1;sedang
tabrakan saat menyalip;0;1;0;-7,383256856;112,5775804;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya legundi ds. krikilan kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;17-25;laki-laki;mini bus;0;tinggi
tabrakan saat menyalip;0;0;1;-7,184528043;112,5774465;utara (0°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);tikungan;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya ds. padeg kec. cerme kab. gresik;cerme;kecelakaan fatal;46-65;laki-laki;truk berat / tronton;0;tinggi
tabrakan saat menyalip;0;3;0;-7,36418537;112,6340752;selatan (180°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan propinsi;jalan raya ds. cangkir kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;26-45;perempuan;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;1;0;0;-7,076038818;112,573339;utara (0°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. gumeno kec. manyar kab. gresik;manyar;kecelakaan berat;nan;laki-laki;r2 (sepeda motor);2;rendah
tabrakan saat menyalip;0;4;0;-7,087345571;112,5724424;barat (270°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan nasional;jalan raya ds. betoyokauman kec. manyar kab. gresik;manyar;kecelakaan ringan;17-25;perempuan;r2 (sepeda motor);0;tinggi
tabrakan saat menyalip;0;2;0;-7,197470632;112,5755867;selatan (180°);terang / jelas;cerah;kolektor;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan propinsi;jalan raya ds tambakberas kec cerme kab. gresik;cerme;kecelakaan ringan;26-45;laki-laki;r2 (sepeda motor);0;tinggi
