Tipe Laka Lantas;Jumlah Korban Luka Berat;Jumlah Korban Luka Ringan;Jumlah Korban Meninggal Dunia;latitude;longititude;Direction;Tipe Cahaya;Cuaca;Fungsi Jalan;Kelas Jalan;Geometri Jalan;Tipe Jalan;Kecepatan;Jenis Jalan;Lokasi Jalan;Kecamatan;Jenis Luka ;Age;jenis kelamin;jenis kendaraan
Di ruas jalan, pejalan kaki sejajar jalan di kiri atau di kanan;0;1;0;-7,306763366;112,5071413;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Desa;Jalan Umum Ds. Tulung Kec. Kedamean Kab. Gresik;Kedamean;Kecelakaan Ringan ;<17;Perempuan;R2 (Sepeda Motor)
Di ruas jalan, pejalan kaki sejajar jalan di kiri atau di kanan;0;2;0;-7,223366225;112,5014304;Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Desa Metatu Kecamatan Benjeng Kabupaten Gresik;Benjeng;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor)
Di ruas jalan, pejalan kaki sejajar jalan di kiri atau di kanan;0;2;0;-7,156814664;112,5904846;Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya KH. Syafi’i Desa Dahanrejo Kecamatan Kebomas Kabupaten Gresik;Kebomas;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-6,968717698;112,4468246;Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ds. Tebuwung Kec. Dukun Kab. Gresik;Dukun;Kecelakaan Ringan ;26-45;Perempuan;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-7,039426044;112,5357077;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ds. Melirang Kec. Bungah Kab. Gresik;Bungah;Kecelakaan Ringan ;<17;Perempuan;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-7,165009404;112,5493586;Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Jalan Raya Ds. Tebaloan Kec. Duduksampeyan Kab. Gresik;Duduk Sampeyan;Kecelakaan Ringan ;26-45;Perempuan;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-7,157574791;112,640662;Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ahmad Yani Kelurahan Ngipik Kecamatan Gresik;Gresik;Kecelakaan Ringan ;46-65;Perempuan;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-7,034547037;112,577847;Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Jalan Raya Desa Kisik Kecamatan Bungah Kabupaten Gresik;Bungah;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-6,978153225;112,5401557;Selatan (180°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Jalan Raya Ds. Golokan Kec. Sidayu Kab. Gresik;Sidayu;Kecelakaan Ringan ;26-45;Perempuan;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;0;1;0;-7,222143551;112,5693252;Utara (0°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Jalan Raya Desa Cerme Lor Kecamatan Cerme Kabupaten Gresik;Cerme;Kecelakaan Ringan;;Perempuan;R2 (Sepeda Motor)
Tabrakan saat pindah lajur ke kiri;1;2;0;-7,048500618;112,5615914;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Jalan Raya Ds. Sukowati Kec. Bungah Kab. Gresik;Bungah;Kecelakaan Berat ;46-65;Laki-laki;R2 (Sepeda Motor)
Kendaraan Out of Control keluar ke kanan jalan;0;1;0;-7,19250979;112,6254512;Barat (270°);Terang / Jelas;Cerah;Tol;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;4/2 B (4 Lajur/2 Arah dengan Batas Median);80;Jalan Nasional;Jalan Tol Surabaya-Gresik;Kebomas;Kecelakaan Ringan;;Laki-laki;Bus
Kendaraan Out of Control keluar ke kanan jalan;0;1;0;-7,191505517;112,6432678;Timur (90°);Gelap / Sulit Terlihat;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Jalan Raya Mayjend Sungkono Kel. Segoromadu Kec. Kebomas Kab. Gresik;Kebomas;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor)
Kendaraan Out of Control keluar ke kanan jalan;1;1;0;-7,143753203;112,6288856;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ds. Roomo Kec. Manyar Kab. Gresik;Manyar;Kecelakaan Berat ;46-65;Laki-laki;Pick up
Kendaraan Out of Control keluar ke kanan jalan;0;0;1;-7,168956319;112,5885689;Timur (90°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;4/2 B (4 Lajur/2 Arah dengan Batas Median);50;Jalan Nasional;Jalan Raya Dr. Wahidin Sudirohusodo  Ds. Dahanrejo Kec. Kebomas Kab. Gresik;Kebomas;Kecelakaan Fatal ;17-25;Laki-laki;R2 (Sepeda Motor)
Kendaraan Out of Control keluar ke kanan jalan;1;0;0;-7,214823849;112,5712927;Utara (0°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;4/2 B (4 Lajur/2 Arah dengan Batas Median);40;Jalan Nasional;Jalan Raya Ds. Cerme Lor Kec. Cerme Kab. Gresik;Cerme;Kecelakaan Berat ;46-65;Laki-laki;R2 (Sepeda Motor)
